Abbreviation,VARIABLE,International_Destination,Year,Value
RUS,DEU,Germany,2015,1111448.488
RUS,DEU,Germany,2016,1057388
RUS,DEU,Germany,2017,1229206.483
RUS,DEU,Germany,2018,1297234
RUS,DEU,Germany,2019,1318402.213
RUS,GRC,Greece,2014,1164784.725
RUS,GRC,Greece,2015,633584.758
RUS,GRC,Greece,2016,782476
RUS,GRC,Greece,2017,856164
RUS,GRC,Greece,2018,808321
RUS,GRC,Greece,2019,749694
RUS,ITA,Italy,2014,994026.258
RUS,ITA,Italy,2015,661916.972
RUS,ITA,Italy,2016,709813
RUS,ITA,Italy,2017,893065.76
RUS,ITA,Italy,2018,1085801
RUS,ITA,Italy,2019,1276977.281
RUS,POL,Poland,2014,1608224.694
RUS,POL,Poland,2015,1321767.156
RUS,POL,Poland,2016,1103532
RUS,POL,Poland,2017,1230434.086
RUS,POL,Poland,2018,1093213
RUS,POL,Poland,2019,1117710.068
RUS,ESP,Spain,2014,1139659.576
RUS,ESP,Spain,2015,692995.723
RUS,ESP,Spain,2016,789769
RUS,ESP,Spain,2017,929398.614
RUS,ESP,Spain,2018,960662
RUS,ESP,Spain,2019,1006539.846
RUS,THA,Thailand,2014,1250314
RUS,THA,Thailand,2015,675089
RUS,THA,Thailand,2016,866597
RUS,THA,Thailand,2017,1094198
RUS,THA,Thailand,2018,1173038
RUS,THA,Thailand,2019,1179659
RUS,TUR,T¨¹rkiye,2014,4216166.26
RUS,TUR,T¨¹rkiye,2015,3460325.476
RUS,TUR,T¨¹rkiye,2016,797304
RUS,TUR,T¨¹rkiye,2017,4519910.698
RUS,TUR,T¨¹rkiye,2018,5719373
RUS,TUR,T¨¹rkiye,2019,6756170.471
RUS,UKR,Ukraine,2014,2557509
RUS,UKR,Ukraine,2015,1656624
RUS,UKR,Ukraine,2016,1804338
RUS,UKR,Ukraine,2017,2282997
RUS,UKR,Ukraine,2018,2289605
RUS,UKR,Ukraine,2019,2527002
RUS,KAZ,Kazakhstan,2014,3330126
RUS,KAZ,Kazakhstan,2015,3125140
RUS,KAZ,Kazakhstan,2016,2849526
RUS,KAZ,Kazakhstan,2017,2977946
RUS,KAZ,Kazakhstan,2018,2954888
RUS,KAZ,Kazakhstan,2019,3163428
TUR,ENS,Europe not specified,2008,701083.207
TUR,ENS,Europe not specified,2009,903757.486
TUR,ENS,Europe not specified,2010,675380.067
TUR,ENS,Europe not specified,2011,362162.756
TUR,ENS,Europe not specified,2012,505241.411
TUR,ENS,Europe not specified,2013,582585.461
TUR,ENS,Europe not specified,2014,648741.655
TUR,ENS,Europe not specified,2015,767269.423
TUR,ENS,Europe not specified,2016,921700.524
TUR,ENS,Europe not specified,2017,1104724.694
TUR,ENS,Europe not specified,2018,1228506
TUR,ENS,Europe not specified,2019,1448243.31
TUR,ENS,Europe not specified,2021,403392.566
BEL,FRA,France,2015,3980211.177
BEL,FRA,France,2016,4983318.433
BEL,FRA,France,2017,4370297.835
BEL,FRA,France,2018,4919263.704
BEL,FRA,France,2019,4780080
BEL,FRA,France,2020,2711744.441
BEL,FRA,France,2021,3266710.144
BEL,DEU,Germany,2015,1012850.354
BEL,DEU,Germany,2016,1261678.986
BEL,DEU,Germany,2017,945811.44
BEL,DEU,Germany,2018,944846.94
BEL,DEU,Germany,2019,1375010
BEL,DEU,Germany,2020,465360.078
BEL,DEU,Germany,2021,514503.434
BEL,ITA,Italy,2015,978777.105
BEL,ITA,Italy,2016,1070452.192
BEL,ITA,Italy,2017,1075064.838
BEL,ITA,Italy,2018,932692.463
BEL,ITA,Italy,2019,1288635
BEL,ITA,Italy,2020,504069.145
BEL,ITA,Italy,2021,636201.965
BEL,NLD,Netherlands,2015,1169562.948
BEL,NLD,Netherlands,2016,1949609.095
BEL,NLD,Netherlands,2017,1723793.873
BEL,NLD,Netherlands,2018,1593580.2
BEL,NLD,Netherlands,2019,2111833
BEL,NLD,Netherlands,2020,795705.431
BEL,NLD,Netherlands,2021,843521.673
BEL,ESP,Spain,2015,1400376.147
BEL,ESP,Spain,2016,1929342.369
BEL,ESP,Spain,2017,1755295.249
